,volume_1
full_heart_mesh_001,131.15083276716445
full_heart_mesh_002,127.68318535640687
full_heart_mesh_003,108.72328279513788
full_heart_mesh_004,139.1852694980946
full_heart_mesh_005,124.61450768745786
full_heart_mesh_006,130.9770441698824
full_heart_mesh_007,119.96864493122862
full_heart_mesh_008,111.40804576335576
full_heart_mesh_009,140.97004484908413
full_heart_mesh_010,126.94468410952895
full_heart_mesh_011,130.93360037354742
full_heart_mesh_012,135.5567218864787
full_heart_mesh_013,139.37571026290672
full_heart_mesh_014,123.74952317863249
full_heart_mesh_015,118.06620802097625
full_heart_mesh_016,135.70768292960494
full_heart_mesh_017,122.75279113844145
full_heart_mesh_018,118.74130863288754
full_heart_mesh_019,129.35888288624622
full_heart_mesh_020,131.91176900399338
full_heart_mesh_021,108.60387385489466
full_heart_mesh_022,136.30868425753968
full_heart_mesh_023,110.41705555736921
full_heart_mesh_024,151.220341124727
full_heart_mesh_025,131.78068992298827
full_heart_mesh_026,136.5786251068195
full_heart_mesh_027,128.65637276217473
full_heart_mesh_028,117.9510624848952
full_heart_mesh_029,131.7210572735656
full_heart_mesh_030,122.0335303229732
full_heart_mesh_031,111.81368153039341
full_heart_mesh_032,126.93896337159663
full_heart_mesh_033,131.78841126789555
full_heart_mesh_034,127.2506891586761
full_heart_mesh_035,116.05140600934749
full_heart_mesh_036,126.66492028935502
full_heart_mesh_037,118.3117561289088
full_heart_mesh_038,128.11274299486834
full_heart_mesh_039,136.70148568469682
full_heart_mesh_040,134.63261194151576
full_heart_mesh_041,121.3232890641344
full_heart_mesh_042,107.63889771810085
full_heart_mesh_043,116.23524370962429
full_heart_mesh_044,119.10595014074335
full_heart_mesh_045,120.76375968512836
full_heart_mesh_046,109.89499703669141
full_heart_mesh_047,137.5556853237768
full_heart_mesh_048,92.438971059843
full_heart_mesh_049,128.2479366292017
full_heart_mesh_050,111.18584573376752
full_heart_mesh_051,124.34263158774614
full_heart_mesh_052,134.32108315950887
full_heart_mesh_053,121.93868744491921
full_heart_mesh_054,137.0220280836707
full_heart_mesh_055,126.01088685301717
full_heart_mesh_056,112.74085635854088
full_heart_mesh_057,127.03943976798803
full_heart_mesh_058,137.58556112478618
full_heart_mesh_059,128.07080610589915
full_heart_mesh_060,141.57858942639808
full_heart_mesh_061,122.3209193000602
full_heart_mesh_062,107.22864587175549
full_heart_mesh_063,138.51319301135825
full_heart_mesh_064,138.73450728223435
full_heart_mesh_065,99.99318836917291
full_heart_mesh_066,126.17253537179256
full_heart_mesh_067,129.38686098044107
full_heart_mesh_068,122.82675588309631
full_heart_mesh_069,120.18100736783198
full_heart_mesh_070,117.49773787949601
full_heart_mesh_071,138.10382469818987
full_heart_mesh_072,103.41495335868578
full_heart_mesh_073,129.47462925510777
full_heart_mesh_074,129.15587610133622
full_heart_mesh_075,128.8136734106425
full_heart_mesh_076,126.0068802560153
full_heart_mesh_077,109.1922792797208
full_heart_mesh_078,130.9344313205654
full_heart_mesh_079,128.48779654505094
full_heart_mesh_080,110.39704403356521
full_heart_mesh_081,127.2433304334327
full_heart_mesh_082,125.33161996495433
full_heart_mesh_083,113.03585533735853
full_heart_mesh_084,126.32421512976255
full_heart_mesh_085,136.83544558364304
full_heart_mesh_086,108.40035008025228
full_heart_mesh_087,140.8302680124554
full_heart_mesh_088,126.7761343812692
full_heart_mesh_089,114.97673457148231
full_heart_mesh_090,134.32511779446227
full_heart_mesh_091,114.99874013723576
full_heart_mesh_092,135.4899790781523
full_heart_mesh_093,135.3410271169718
full_heart_mesh_094,146.34918455971643
full_heart_mesh_095,135.59314858301252
full_heart_mesh_096,144.91116303123022
full_heart_mesh_097,101.24775277196237
full_heart_mesh_098,99.06645490174509
full_heart_mesh_099,127.32338275229351
full_heart_mesh_100,137.18058581550292
full_heart_mesh_101,102.71854916659647
full_heart_mesh_102,111.18467973947168
full_heart_mesh_103,143.03069841418156
full_heart_mesh_104,129.7483213393326
full_heart_mesh_105,113.04860953528336
full_heart_mesh_106,117.8873227185409
full_heart_mesh_107,127.7472310913792
full_heart_mesh_108,99.29619084437762
full_heart_mesh_109,130.36804223851385
full_heart_mesh_110,119.49760121296433
full_heart_mesh_111,120.34171260875334
full_heart_mesh_112,120.14252487419108
full_heart_mesh_113,105.64275840079056
full_heart_mesh_114,128.0860789085165
full_heart_mesh_115,132.56689468930617
full_heart_mesh_116,106.20927184427491
full_heart_mesh_117,119.18861098053372
full_heart_mesh_118,148.16994347288147
full_heart_mesh_119,110.2051216141743
full_heart_mesh_120,146.5061205578153
full_heart_mesh_121,137.03609523511875
full_heart_mesh_122,118.44910508476482
full_heart_mesh_123,121.49923430299637
full_heart_mesh_124,114.59227027582826
full_heart_mesh_125,119.79267683193248
full_heart_mesh_126,127.27563904097623
full_heart_mesh_127,116.65291422075988
full_heart_mesh_128,130.7854325088643
full_heart_mesh_129,128.32294931083962
full_heart_mesh_130,121.86312103824974
full_heart_mesh_131,124.95259776558227
full_heart_mesh_132,130.34697538287028
full_heart_mesh_133,132.44699690782713
full_heart_mesh_134,110.29349062274432
full_heart_mesh_135,106.10745078305047
full_heart_mesh_136,119.57894815136602
full_heart_mesh_137,120.49342059923194
full_heart_mesh_138,119.37958297268308
full_heart_mesh_139,126.60591471181216
full_heart_mesh_140,128.03525768622913
full_heart_mesh_141,122.90495631104643
full_heart_mesh_142,127.04466800788309
full_heart_mesh_143,125.56952047191965
full_heart_mesh_144,125.71505715384093
full_heart_mesh_145,112.6961352846601
full_heart_mesh_146,116.19404051891064
full_heart_mesh_147,124.49640773585745
full_heart_mesh_148,101.29095802820059
full_heart_mesh_149,114.77654937999007
full_heart_mesh_150,103.86927681758927
full_heart_mesh_151,110.5109327476058
full_heart_mesh_152,138.76429428086672
full_heart_mesh_153,146.56529915315517
full_heart_mesh_154,113.11495294510912
full_heart_mesh_155,125.41482588344665
full_heart_mesh_156,123.86695080327628
full_heart_mesh_157,135.2061917787978
full_heart_mesh_158,119.10038814692412
full_heart_mesh_159,128.8404229829354
full_heart_mesh_160,136.1480906013409
full_heart_mesh_161,136.27560245619043
full_heart_mesh_162,129.93349346616844
full_heart_mesh_163,124.56397372187548
full_heart_mesh_164,129.77504572807266
full_heart_mesh_165,123.94011029015283
full_heart_mesh_166,123.04409603581232
full_heart_mesh_167,135.4798410726858
full_heart_mesh_168,128.78490063432275
full_heart_mesh_169,125.83590571963518
full_heart_mesh_170,138.6346722500553
full_heart_mesh_171,112.83385904070857
full_heart_mesh_172,128.64433608813403
full_heart_mesh_173,123.28277644129298
full_heart_mesh_174,129.5160287683384
full_heart_mesh_175,131.45033865085753
full_heart_mesh_176,127.93322537913222
full_heart_mesh_177,150.84625109748913
full_heart_mesh_178,139.28668533945026
full_heart_mesh_179,127.70580332749769
full_heart_mesh_180,130.97252045959766
full_heart_mesh_181,134.94899662476286
full_heart_mesh_182,122.1230019173542
full_heart_mesh_183,113.38680618802792
full_heart_mesh_184,123.3974137098841
full_heart_mesh_185,143.0619251223911
full_heart_mesh_186,111.61286201189077
full_heart_mesh_187,116.75287042208078
full_heart_mesh_188,121.68670727688304
full_heart_mesh_189,89.03001273473231
full_heart_mesh_190,124.52764148548158
full_heart_mesh_191,133.76724125879156
full_heart_mesh_192,130.89229406495022
full_heart_mesh_193,127.48606477120592
full_heart_mesh_194,115.46675711858352
full_heart_mesh_195,144.17392957980928
full_heart_mesh_196,127.89544671244516
full_heart_mesh_197,115.81707887668748
full_heart_mesh_198,126.94520361938062
full_heart_mesh_199,139.22861031848038
full_heart_mesh_200,107.74921425116897
full_heart_mesh_201,117.12717029891637
full_heart_mesh_202,136.52085177656355
full_heart_mesh_203,143.1799451550661
full_heart_mesh_204,138.62942839426364
full_heart_mesh_205,123.11920603766211
full_heart_mesh_206,115.15267135559101
full_heart_mesh_207,129.5322476752495
full_heart_mesh_208,121.38225942548347
full_heart_mesh_209,118.78406006729968
full_heart_mesh_210,135.43392640451802
full_heart_mesh_211,120.37913083507696
full_heart_mesh_212,147.21835410086288
full_heart_mesh_213,133.5636597631776
full_heart_mesh_214,130.24478763103383
full_heart_mesh_215,136.04479326794902
full_heart_mesh_216,123.60172968888342
full_heart_mesh_217,119.67687997032787
full_heart_mesh_218,146.1798027915457
full_heart_mesh_219,144.3033775192414
full_heart_mesh_220,102.04607999804644
full_heart_mesh_221,132.7718294228268
full_heart_mesh_222,147.15567267289376
full_heart_mesh_223,126.41711433561389
full_heart_mesh_224,128.84679259457835
full_heart_mesh_225,116.1865203420309
full_heart_mesh_226,123.30228981938049
full_heart_mesh_227,146.3815684263264
full_heart_mesh_228,137.03508971164666
full_heart_mesh_229,128.31412049394646
full_heart_mesh_230,118.70013155280701
full_heart_mesh_231,108.99937519298355
full_heart_mesh_232,129.70379071123938
full_heart_mesh_233,150.30023210170773
full_heart_mesh_234,131.97977388029355
full_heart_mesh_235,130.12444937073784
full_heart_mesh_236,128.87841665456332
full_heart_mesh_237,110.68584285194333
full_heart_mesh_238,135.06397264577845
full_heart_mesh_239,95.34195685888331
full_heart_mesh_240,116.56899076180683
full_heart_mesh_241,111.99406194401378
full_heart_mesh_242,140.36387597833595
full_heart_mesh_243,85.2216316911811
full_heart_mesh_244,134.55488875851643
full_heart_mesh_245,125.6772506577093
full_heart_mesh_246,114.17229568601157
full_heart_mesh_247,125.65932073626823
full_heart_mesh_248,133.05431201305217
full_heart_mesh_249,124.79902970444505
full_heart_mesh_250,119.74367023826197
full_heart_mesh_251,121.85551439799472
full_heart_mesh_252,125.72377240899831
full_heart_mesh_253,107.34016548110287
full_heart_mesh_254,126.45950836898909
full_heart_mesh_255,124.99093429900006
full_heart_mesh_256,95.41573449652607
full_heart_mesh_257,102.32182069551395
full_heart_mesh_258,126.90629843502103
full_heart_mesh_259,117.96949408441733
full_heart_mesh_260,123.90792508964196
full_heart_mesh_261,109.11043349676298
full_heart_mesh_262,142.64961155917052
full_heart_mesh_263,141.55369825281082
full_heart_mesh_264,125.2831551580822
full_heart_mesh_265,139.64363296441445
full_heart_mesh_266,133.6479371760133
full_heart_mesh_267,104.37500509470918
full_heart_mesh_268,136.52005287501848
full_heart_mesh_269,122.54447369333342
full_heart_mesh_270,131.34558809163605
full_heart_mesh_271,111.20933637298172
full_heart_mesh_272,116.69359858637567
full_heart_mesh_273,110.60077154419082
full_heart_mesh_274,115.12383885578815
full_heart_mesh_275,140.1123315596649
full_heart_mesh_276,133.30852126333505
full_heart_mesh_277,118.94323825741384
full_heart_mesh_278,106.31845659317977
full_heart_mesh_279,118.83492254520155
full_heart_mesh_280,110.69434247202138
full_heart_mesh_281,118.3824889488607
full_heart_mesh_282,133.87218355140442
full_heart_mesh_283,124.92118973097651
full_heart_mesh_284,124.46200169454576
full_heart_mesh_285,142.65885410170446
full_heart_mesh_286,114.83480569719076
full_heart_mesh_287,119.13131441317707
full_heart_mesh_288,145.93561566517255
full_heart_mesh_289,129.49860668094567
full_heart_mesh_290,121.8141566394674
full_heart_mesh_291,143.34767091287677
full_heart_mesh_292,107.22394870343804
full_heart_mesh_293,126.8090786678533
full_heart_mesh_294,126.55040553067043
full_heart_mesh_295,111.67858907334241
full_heart_mesh_296,121.93536996084087
full_heart_mesh_297,123.72540072472542
full_heart_mesh_298,124.52169955210145
full_heart_mesh_299,124.93604931266147
full_heart_mesh_300,143.252010388138
full_heart_mesh_301,131.04349634470063
full_heart_mesh_302,112.14336050636439
full_heart_mesh_303,142.7828097220212
full_heart_mesh_304,128.54213237178482
full_heart_mesh_305,109.06849005626827
full_heart_mesh_306,108.74457320706833
full_heart_mesh_307,116.4877197020436
full_heart_mesh_308,133.03969772569567
full_heart_mesh_309,112.6876569887462
full_heart_mesh_310,135.4672688700379
full_heart_mesh_311,114.34875959211479
full_heart_mesh_312,116.48188131456187
full_heart_mesh_313,123.88668433985404
full_heart_mesh_314,122.59007347796776
full_heart_mesh_315,109.11585757638542
full_heart_mesh_316,122.46284163287622
full_heart_mesh_317,131.00280039561562
full_heart_mesh_318,104.65389878217978
full_heart_mesh_319,112.47050492711207
full_heart_mesh_320,99.63536816343586
full_heart_mesh_321,108.54877995551914
full_heart_mesh_322,130.66950711535998
full_heart_mesh_323,130.76896252511668
full_heart_mesh_324,138.77864363194558
full_heart_mesh_325,133.2337773147119
full_heart_mesh_326,132.0233851915249
full_heart_mesh_327,135.66204152557341
full_heart_mesh_328,127.39833913777575
full_heart_mesh_329,121.4444806432739
full_heart_mesh_330,121.5695269619944
full_heart_mesh_331,120.69817410494832
full_heart_mesh_332,158.0486863190066
full_heart_mesh_333,106.79511322057581
full_heart_mesh_334,121.2762938915552
full_heart_mesh_335,129.06620108785705
full_heart_mesh_336,117.57586960351533
full_heart_mesh_337,104.48395169414972
full_heart_mesh_338,121.38348415749142
full_heart_mesh_339,141.28137867233568
full_heart_mesh_340,138.71904427143264
full_heart_mesh_341,128.33359781486382
full_heart_mesh_342,115.68294922104756
full_heart_mesh_343,134.90851031997494
full_heart_mesh_344,112.61442703243738
full_heart_mesh_345,137.22216542036978
full_heart_mesh_346,137.44436595121252
full_heart_mesh_347,154.96911410383905
full_heart_mesh_348,145.64194833127408
full_heart_mesh_349,114.91730698139756
full_heart_mesh_350,128.75392143660335
full_heart_mesh_351,141.53292443804878
full_heart_mesh_352,144.1540675449817
full_heart_mesh_353,130.9976330252607
full_heart_mesh_354,125.8110755286331
full_heart_mesh_355,134.25456004955694
full_heart_mesh_356,106.81327670985411
full_heart_mesh_357,136.75099176403134
full_heart_mesh_358,131.0055408585935
full_heart_mesh_359,106.46649387907678
full_heart_mesh_360,125.96788501282387
full_heart_mesh_361,138.9364465797181
full_heart_mesh_362,120.65617863168453
full_heart_mesh_363,104.28043688353651
full_heart_mesh_364,129.72048447379134
full_heart_mesh_365,118.11953555314058
full_heart_mesh_366,135.58121288857987
full_heart_mesh_367,126.26652887405209
full_heart_mesh_368,125.93194900149176
full_heart_mesh_369,124.43636061193368
full_heart_mesh_370,130.72046703726062
full_heart_mesh_371,129.23654040106942
full_heart_mesh_372,124.35628571130107
full_heart_mesh_373,111.31322849237519
full_heart_mesh_374,115.70474855311804
full_heart_mesh_375,137.53507001075536
full_heart_mesh_376,126.5266589052907
full_heart_mesh_377,129.4547376598005
full_heart_mesh_378,119.02202092674817
full_heart_mesh_379,132.90543593105286
full_heart_mesh_380,115.38593238455151
full_heart_mesh_381,129.03636523830642
full_heart_mesh_382,105.88163466721157
full_heart_mesh_383,135.64541216002408
full_heart_mesh_384,98.13504599925346
full_heart_mesh_385,117.2491805438509
full_heart_mesh_386,139.67472731009315
full_heart_mesh_387,150.076843595738
full_heart_mesh_388,129.4626684277409
full_heart_mesh_389,125.41623840187458
full_heart_mesh_390,99.76431195835445
full_heart_mesh_391,100.07512476750098
full_heart_mesh_392,135.0968659373364
full_heart_mesh_393,107.30298326416188
full_heart_mesh_394,108.4760447627038
full_heart_mesh_395,126.27381375288842
full_heart_mesh_396,128.59403664929582
full_heart_mesh_397,120.89785453854783
full_heart_mesh_398,122.31681263743499
full_heart_mesh_399,132.47133962186163
full_heart_mesh_400,142.78355790742287
full_heart_mesh_401,137.220665542668
full_heart_mesh_402,143.96536598632582
full_heart_mesh_403,119.56489520877328
full_heart_mesh_404,131.58202873965635
full_heart_mesh_405,140.3778429000394
full_heart_mesh_406,135.10449131720648
full_heart_mesh_407,113.22814412508056
full_heart_mesh_408,139.24391779468687
full_heart_mesh_409,126.29985992571659
full_heart_mesh_410,110.6023568890091
full_heart_mesh_411,138.65781837352887
full_heart_mesh_412,132.03528058550717
full_heart_mesh_413,131.04110703245857
full_heart_mesh_414,102.92828102696905
full_heart_mesh_415,156.16768565130033
full_heart_mesh_416,133.61965578686363
full_heart_mesh_417,142.47484456384655
full_heart_mesh_418,127.92216644173625
full_heart_mesh_419,114.97724269886321
full_heart_mesh_420,141.63290833439103
full_heart_mesh_421,123.49100832387106
full_heart_mesh_422,139.7401130617428
full_heart_mesh_423,130.62739657557393
full_heart_mesh_424,145.8069719704387
full_heart_mesh_425,122.1097587968194
full_heart_mesh_426,110.33178077569148
full_heart_mesh_427,101.6277945213922
full_heart_mesh_428,136.792174503869
full_heart_mesh_429,132.43353266315148
full_heart_mesh_430,104.81326528075601
full_heart_mesh_431,118.51413176385333
full_heart_mesh_432,136.91786851222352
full_heart_mesh_433,123.27586382992682
full_heart_mesh_434,133.65872357678123
full_heart_mesh_435,108.88239252483925
full_heart_mesh_436,141.4100452811144
full_heart_mesh_437,121.75744155064054
full_heart_mesh_438,108.53504712891257
full_heart_mesh_439,141.31605705413762
full_heart_mesh_440,129.30154693082483
full_heart_mesh_441,128.0556511621413
full_heart_mesh_442,125.37501819884814
full_heart_mesh_443,156.01948716168056
full_heart_mesh_444,135.87669617098655
full_heart_mesh_445,110.90091141276378
full_heart_mesh_446,139.5513955026304
full_heart_mesh_447,108.36903372724252
full_heart_mesh_448,131.26849981181633
full_heart_mesh_449,122.3156824783361
full_heart_mesh_450,113.5523757427616
full_heart_mesh_451,122.26622939673246
full_heart_mesh_452,143.38587423909308
full_heart_mesh_453,130.6649094209484
full_heart_mesh_454,122.55736737617785
full_heart_mesh_455,126.54616317259831
full_heart_mesh_456,120.90800810149946
full_heart_mesh_457,135.20402561543142
full_heart_mesh_458,112.52443615929266
full_heart_mesh_459,159.13179541516058
full_heart_mesh_460,113.53848659530898
full_heart_mesh_461,145.92400968747063
full_heart_mesh_462,124.01377321380656
full_heart_mesh_463,130.60381765268525
full_heart_mesh_464,121.09367395612284
full_heart_mesh_465,138.74201199691188
full_heart_mesh_466,134.1591539323988
full_heart_mesh_467,122.49307630392845
full_heart_mesh_468,136.75219070071364
full_heart_mesh_469,118.79499399342858
full_heart_mesh_470,105.33273520850946
full_heart_mesh_471,123.09134769513072
full_heart_mesh_472,129.08846958731928
full_heart_mesh_473,129.8218612025509
full_heart_mesh_474,130.8684192339791
full_heart_mesh_475,116.8781431808683
full_heart_mesh_476,120.41551726694634
full_heart_mesh_477,114.09577128150731
full_heart_mesh_478,108.81099805536725
full_heart_mesh_479,136.81267779161
full_heart_mesh_480,117.4197634313811
full_heart_mesh_481,123.62809769578772
full_heart_mesh_482,112.2500844619033
full_heart_mesh_483,114.16856177440508
full_heart_mesh_484,122.89035510289258
full_heart_mesh_485,142.45602537474025
full_heart_mesh_486,135.65900882003945
full_heart_mesh_487,130.74949273871852
full_heart_mesh_488,116.65770516298262
full_heart_mesh_489,115.35830640784178
full_heart_mesh_490,141.87815065102967
full_heart_mesh_491,129.07782804716797
full_heart_mesh_492,128.33892255551913
full_heart_mesh_493,133.76079492286928
full_heart_mesh_494,95.4188315887111
full_heart_mesh_495,122.07295300553861
full_heart_mesh_496,118.05784277478477
full_heart_mesh_497,124.94195088947579
full_heart_mesh_498,134.7453095312528
full_heart_mesh_499,118.76742041965879
full_heart_mesh_500,131.86104967014802
